
2024/10/30 (02:15:49) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/31 (01:05:13) | ===> btop++ v.1.4.0
2024/10/31 (01:05:13) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/31 (16:39:10) | ===> btop++ v.1.4.0
2024/10/31 (16:39:10) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/31 (17:38:53) | ===> btop++ v.1.4.0
2024/10/31 (17:38:53) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/01 (17:17:29) | ===> btop++ v.1.4.0
2024/11/01 (17:17:29) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/01 (17:21:21) | ===> btop++ v.1.4.0
2024/11/01 (17:21:21) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/01 (23:10:56) | ===> btop++ v.1.4.0
2024/11/01 (23:10:56) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/01 (23:11:34) | ===> btop++ v.1.4.0
2024/11/01 (23:11:34) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/01 (23:12:12) | ===> btop++ v.1.4.0
2024/11/01 (23:12:12) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/01 (23:13:46) | ===> btop++ v.1.4.0
2024/11/01 (23:13:46) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/01 (23:16:55) | ===> btop++ v.1.4.0
2024/11/01 (23:16:55) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/01 (23:17:29) | ===> btop++ v.1.4.0
2024/11/01 (23:17:29) | WARNING: Intel GPU: Failed to initialize PMU
2024/11/01 (23:20:12) | INFO: Logger set to INFO
2024/11/01 (23:20:13) | INFO: Logger set to DEBUG
2024/11/01 (23:20:16) | INFO: Logger set to INFO
2024/11/01 (23:20:20) | INFO: Logger set to INFO

2024/11/01 (23:27:14) | ===> btop++ v.1.4.0
2024/11/01 (23:27:14) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/02 (10:06:41) | ===> btop++ v.1.4.0
2024/11/02 (10:06:41) | WARNING: Intel GPU: Failed to initialize PMU
